Description$Keywords
five$five
rosalie atletic generous gentl strong funny smart pretty encouraging honest loyal energetic$rosalie, gentl, atletic, loyal, energetic
kindness last evening grandmother offered garlic bread even though always garlic bread lover way prepares always mushy due much butter even though much appetite ate grandmother first time almost since week seen probably feeling really alone house sucked put$garlic, bread, grandmother, though, mushy
gift distance year coronavirus celebrated easter home family video reunion planty chocolate seemed like enough remembered easter life saw year gave received idea started draw sister brother finally send drawing everybody happy hope family wathever appends$easter, wathever, planty, appends, reunion
family went looking house move wrestling meet day might time look house made ten minute open house past time close saying bye thank person said keep looking wanted also said would kick u looked another half hour$house, looking, wrestling, kick, bye
walking assembly al watching video al ride life two friend started cry video sad teacher tried comfort make feel better help afterwoulds went lunch made laugf$al, video, laugf, afterwoulds, assembly
way get dinner family got family walked saw bunch people come held door came made feel really good said thank went back family told held door group people proud said good job recommend something today like holding door someone saying look nice even smiling spread kindness$door, held, family, recommend, good
find sad frustrating human ridding humanity mean think way earth home planet whether made god people different belief everyone respect people believe earth created different way people believe jesus people fine everyone different planet home matter made first earth everything food shelter water friend family air wildlife earth provides u much thing people life could list major one people understand respect planet people care human greedy naturally genetically changed people stepped gene became person stood earth made difference changed earth like said everything respect take care love know stupid say love think people hunt animal kill eat litter thing heartbreaking infuriating ocean provide u ton oxygen almost half oxygen come ocean kill ocean get oxygen ocean anymore rely tree healthy plant people think think well okay care ocean die thousand tree big deal heck big deal kill beautiful sea deforestation rids planet stunning tree left come easy nothing answer nothing marine ecosystem many animal land rely tree plant food home die oxygen supply cut zero oxygen plant tree ocean wildlife humanity life really horrific huge eye opener seriously make think second pushing aside comprehend mind finally circle back problem going late terrible want everyone read couple people think ocean family second ocean marine wildlife family true graceful dolphin swim surface clear water grazing wave imperceptible speed stillness shark misunderstood beautiful fin slicing water silence make everything stop whale bigger life mouth true gentle giant fin huge destructive graceful well controlled coral reef create oxygen u breathe helping u destroy beautiful marine flower shelter hundred tiny shrimp fish specie well curious creature wandering around sea floor happy alive alive microscopic creature floating follicle invisible stunning water creating thing creature make human wonder ponder actually happening water pristine giving home million million interesting specie name one pronounce without phone family long lost relative best friend ocean marine life always best friend honest many friend live state pray flight blocked canceled every summer marine life ocean always swim ocean matter cold outside fun boogie board appreciating place water crowded dirt trash foam sit beach matter hot sifting sand looking water studying everything precariously miss anything mentally know need go online lot read ocean marine life marine conservation spend hour watching documentary tv taking note watching wonder happiness horror disgust heart eye mainly like beach mainly water family friend family friend solitary person anything anything wrong people behind many friend best friend ocean comfort always scared great great grandchild even child ocean sea trashed marine life alive make worried seems like everything get worse year pas better need get better family need help everything get older go place speak make change help matter everyone make change instagram twitter almost positive anyone everyone earth family ocean earth family planet home need help dying deteriorating ocean getting acidic land deforested everyone get greedy oblivious damage causing people ask test know causing damage destruction want like know like meaningful word told people making earth suffer right either nope like u human u ocean family let protect save loved one$ocean, marine, earth, oxygen, water
gave random kindness gave kid school art tip boost knowledge thing art would sit kid wanted art brain loved best thing voluntily everyone loved class even started love art love art helped others love$art, loved, love, voluntily, boost
time saw someone hand full walking thew door diced hold door people$thew, diced, door, hold, full
amazing every take ultimately affect people around u prof significant effect changing people behavior imitation copying particular behavior observe give others taking consideration people desire need rather actually many benefit giving proven physical mental emotional relief someone autism spectrum disorder asd world seem confusing cruel place asd show difficulty properly socializing people making maintaining relationship judged criticized something beyond control excluded social interaction many child painful enough know wanted however one kindness someone without knowing disorder go long way make better person throughout life learned concept important giving really first people give others genuinely happier giving materialistic emotional support motivation keep person given emotional support show lasting effect thinking others longer effect staying joyful life nothing satisfying giving people need saw nice thing started imitating reinforced keep nice thing others even may acknowledge also giving others make feel good good helping everyone around u truly satisfying see every person want nice thing done especially true encouragement need keep living life autism every day go personal battle struggle right motivation people virtual personal growth feeling good good others also show concern put peaceful state currently volunteer local public school assisting special education teacher student autism help someone learn autism experience one best thing done help need assistance matter great small volunteering truly opened new discovery inspiration never stop giving back people even anything way see people treat others really speaks louder word express something willing hold onto nothing people take away fact still good others without reciprocated u actually strongest trait person need remember way respond approach situation much ought think responding respect positivity flourish character strengthens potential giving life help someone else truly highest kindness anyone show speaking experience choice made necessarily give much lend hand need open mind heart becoming empathetic help u think deeper world live people go daily basis giving simply make big difference world desperately need help inspired blog benefit giving others website beautiful real life$giving, others, autism, people, need
daughter went around community lake participated chalk walk challenge wrote message hope encouragement love drew picture flower heart cat unicorn cat head chalked random spot around lake path mile loop worked day art pleasantly surprised got back first picture set well message held people taking care walk around artwork treaded work oblivious one point sat shade group tree watched people walking biking jogging many turned head walked glancing message stopped look read comment talk written best reaction got one stopped take picture art message one lady approached u gushing happy made feel see word kindness hope written sidewalk told u going post favorite message instagram share follower talked never told u drew best moment watching happy people reading message watching art spark conversation smile also loved care people took protect art running walking biking around one help last one site someone moved rock either side work alert others loved sharing moment daughter seeing happy would get someone commented cat$message, art, cat, picture, biking
